Sensor,Axis,Angular velocity,X,Y,Z,Temp
EXT,X,0.1,-0.434875,-0.152588,-1.190186,25.38294
EXT,X,0.1,-0.434875,-0.114441,-1.220703,25.379999
EXT,X,0.1,-0.434875,-0.053406,-1.121521,25.385881
EXT,X,0.1,-0.434875,-0.083923,-1.205444,25.391766
EXT,X,0.1,-0.434875,-0.083923,-1.220703,25.38294
EXT,X,0.1,-0.442505,-0.106812,-1.174927,25.365294
EXT,X,0.1,-0.442505,-0.045776,-1.190186,25.374117
EXT,X,0.1,-0.442505,-0.022888,-1.174927,25.368235
EXT,X,0.1,-0.442505,-0.083923,-1.25885,25.374117
EXT,X,0.1,-0.442505,-0.106812,-1.190186,25.347647
EXT,X,0.1,-0.442505,-0.061035,-1.12915,25.353529
EXT,X,0.1,-0.442505,-0.076294,-1.182556,25.362352
EXT,X,0.1,-0.442505,-0.076294,-1.182556,25.368235
EXT,X,0.1,-0.442505,-0.076294,-1.159668,25.371176
EXT,X,0.1,-0.442505,-0.068665,-1.152039,25.371176
EXT,X,0.1,-0.442505,-0.068665,-1.12915,25.365294
EXT,X,0.1,-0.442505,-0.045776,-1.159668,25.379999
EXT,X,0.1,-0.442505,-0.083923,-1.152039,25.388824
EXT,X,0.1,-0.442505,-0.114441,-1.190186,25.368235
EXT,X,0.1,-0.442505,-0.099182,-1.220703,25.359411
EXT,X,0.1,-0.442505,-0.083923,-1.152039,25.368235
EXT,X,0.1,-0.442505,-0.053406,-1.251221,25.362352
EXT,X,0.1,-0.442505,-0.061035,-1.182556,25.400589
EXT,X,0.1,-0.442505,-0.099182,-1.213074,25.377058
EXT,X,0.1,-0.442505,-0.114441,-1.167297,25.394707
EXT,X,0.1,-0.442505,-0.083923,-1.174927,25.368235
EXT,X,0.1,-0.442505,-0.053406,-1.235962,25.353529
EXT,X,0.1,-0.442505,-0.083923,-1.182556,25.362352
EXT,X,0.1,-0.442505,-0.076294,-1.228333,25.38294
EXT,X,0.1,-0.442505,-0.114441,-1.13678,25.391766
EXT,X,0.1,-0.442505,-0.038147,-1.190186,25.406471
EXT,X,0.1,-0.442505,-0.152588,-1.159668,25.353529
EXT,X,0.1,-0.442505,-0.076294,-1.205444,25.38294
EXT,X,0.1,-0.442505,-0.083923,-1.197815,25.38294
EXT,X,0.1,-0.442505,-0.114441,-1.197815,25.388824
EXT,X,0.1,-0.442505,-0.137329,-1.205444,25.397648
EXT,X,0.1,-0.450134,-0.061035,-1.13678,25.359411
EXT,X,0.1,-0.450134,-0.106812,-1.174927,25.350588
EXT,X,0.1,-0.450134,-0.1297,-1.144409,25.374117
EXT,X,0.1,-0.450134,-0.015259,-1.228333,25.353529
EXT,X,0.1,-0.450134,-0.068665,-1.205444,25.359411
EXT,X,0.1,-0.450134,-0.045776,-1.205444,25.347647
EXT,X,0.1,-0.450134,-0.1297,-1.13678,25.371176
EXT,X,0.1,-0.450134,-0.106812,-1.228333,25.365294
EXT,X,0.1,-0.450134,-0.114441,-1.197815,25.374117
EXT,X,0.1,-0.450134,-0.083923,-1.144409,25.35647
EXT,X,0.1,-0.450134,-0.076294,-1.159668,25.374117
EXT,X,0.1,-0.450134,-0.137329,-1.190186,25.365294
EXT,X,0.1,-0.450134,-0.152588,-1.274109,25.359411
EXT,X,0.1,-0.450134,-0.068665,-1.235962,25.38294
EXT,X,0.1,-0.450134,-0.106812,-1.220703,25.365294
EXT,X,0.1,-0.450134,-0.114441,-1.182556,25.388824
EXT,X,0.1,-0.450134,-0.068665,-1.213074,25.385881
EXT,X,0.1,-0.450134,-0.045776,-1.152039,25.377058
EXT,X,0.1,-0.450134,-0.099182,-1.12915,25.353529
EXT,X,0.1,-0.450134,-0.053406,-1.205444,25.365294
EXT,X,0.1,-0.450134,-0.152588,-1.197815,25.377058
EXT,X,0.1,-0.450134,-0.12207,-1.213074,25.38294
EXT,X,0.1,-0.450134,-0.015259,-1.213074,25.388824
EXT,X,0.1,-0.450134,-0.068665,-1.228333,25.38294
EXT,X,0.1,-0.450134,-0.022888,-1.159668,25.388824
EXT,X,0.1,-0.450134,-0.083923,-1.12915,25.391766
EXT,X,0.1,-0.450134,-0.106812,-1.182556,25.400589
EXT,X,0.1,-0.450134,-0.106812,-1.106262,25.362352
EXT,X,0.1,-0.450134,-0.106812,-1.182556,25.359411
