m1,m2,m3
-530.769226,-2.564103,-82.051285
-528.205139,-6.410256,-83.333336
-528.205139,1.282051,-82.051285
-524.359009,0.0,-82.051285
-532.05127,6.410256,-82.051285
-524.359009,-6.410256,-78.205132
-529.487183,-3.846154,-84.615387
-520.512817,-7.692308,-85.897438
-529.487183,0.0,-84.615387
-525.641052,-5.128205,-78.205132
-530.769226,7.692308,-91.025642
-525.641052,-1.282051,-79.487183
-528.205139,2.564103,-79.487183
-524.359009,0.0,-78.205132
-532.05127,5.128205,-84.615387
-528.205139,-1.282051,-82.051285
-528.205139,0.0,-83.333336
-529.487183,-6.410256,-82.051285
-528.205139,6.410256,-83.333336
-528.205139,6.410256,-71.794876
-532.05127,1.282051,-82.051285
-529.487183,2.564103,-85.897438
-526.923096,3.846154,-83.333336
-526.923096,2.564103,-84.615387
-526.923096,6.410256,-88.46154
-533.333374,2.564103,-84.615387
-530.769226,7.692308,-79.487183
-529.487183,7.692308,-76.92308
-529.487183,-1.282051,-79.487183
-526.923096,-1.282051,-91.025642
-524.359009,2.564103,-78.205132
-534.615417,-3.846154,-79.487183
-524.359009,-3.846154,-76.92308
-529.487183,1.282051,-85.897438
-532.05127,5.128205,-79.487183
-525.641052,0.0,-85.897438
-521.794861,-7.692308,-83.333336
-519.230774,-8.97436,-78.205132
-530.769226,8.97436,-75.641029
-525.641052,6.410256,-83.333336
-525.641052,1.282051,-80.769234
-533.333374,-2.564103,-80.769234
-529.487183,2.564103,-82.051285
-530.769226,6.410256,-76.92308
-523.076965,10.256411,-80.769234
-530.769226,1.282051,-82.051285
-524.359009,-5.128205,-82.051285
-532.05127,8.97436,-78.205132
-530.769226,-6.410256,-78.205132
-532.05127,-3.846154,-87.179489
-523.076965,-5.128205,-83.333336
-532.05127,10.256411,-82.051285
-523.076965,-6.410256,-87.179489
-530.769226,2.564103,-75.641029
-523.076965,0.0,-83.333336
-528.205139,-7.692308,-87.179489
-524.359009,-7.692308,-83.333336
-532.05127,5.128205,-76.92308
-529.487183,2.564103,-80.769234
-529.487183,5.128205,-84.615387
-530.769226,5.128205,-85.897438
-523.076965,-5.128205,-82.051285
-521.794861,-3.846154,-85.897438
-530.769226,8.97436,-83.333336
-523.076965,0.0,-79.487183
-529.487183,3.846154,-85.897438
-524.359009,-3.846154,-73.076927
-534.615417,5.128205,-82.051285
-525.641052,-3.846154,-82.051285
-525.641052,3.846154,-70.512825
-532.05127,2.564103,-83.333336
-534.615417,1.282051,-83.333336
-525.641052,-3.846154,-80.769234
-534.615417,8.97436,-78.205132
-528.205139,6.410256,-87.179489
-529.487183,7.692308,-84.615387
-526.923096,6.410256,-82.051285
-517.94873,5.128205,-82.051285
-530.769226,6.410256,-85.897438
-528.205139,-2.564103,-75.641029
-530.769226,-1.282051,-82.051285
-521.794861,-2.564103,-82.051285
-525.641052,6.410256,-83.333336
-526.923096,2.564103,-78.205132
-525.641052,-6.410256,-83.333336
-519.230774,-2.564103,-79.487183
-526.923096,-5.128205,-79.487183
-533.333374,2.564103,-76.92308
-530.769226,0.0,-80.769234
-529.487183,7.692308,-85.897438
-538.461548,6.410256,-84.615387
-529.487183,-1.282051,-74.358978
-529.487183,-3.846154,-88.46154
-532.05127,1.282051,-76.92308
-534.615417,-6.410256,-84.615387
-529.487183,6.410256,-71.794876
-529.487183,0.0,-79.487183
-524.359009,0.0,-87.179489
-526.923096,6.410256,-84.615387
-532.05127,6.410256,-76.92308
-532.05127,-6.410256,-79.487183
-532.05127,-3.846154,-82.051285
-528.205139,-1.282051,-79.487183
-523.076965,6.410256,-82.051285
-529.487183,-1.282051,-84.615387
-533.333374,-1.282051,-91.025642
-525.641052,3.846154,-85.897438
-524.359009,-5.128205,-79.487183
-526.923096,8.97436,-79.487183
-525.641052,2.564103,-82.051285
-526.923096,-10.256411,-82.051285
-525.641052,0.0,-76.92308
-529.487183,1.282051,-82.051285
-535.897461,5.128205,-91.025642
-529.487183,3.846154,-83.333336
-526.923096,0.0,-75.641029
-525.641052,0.0,-76.92308
-520.512817,0.0,-74.358978
-529.487183,-3.846154,-85.897438
-525.641052,7.692308,-75.641029
-526.923096,2.564103,-80.769234
-525.641052,-3.846154,-80.769234
-524.359009,5.128205,-80.769234
-526.923096,-8.97436,-78.205132
-529.487183,7.692308,-88.46154
-533.333374,0.0,-82.051285
-532.05127,10.256411,-79.487183
-539.743591,5.128205,-80.769234
-533.333374,0.0,-80.769234
-524.359009,5.128205,-85.897438
-533.333374,7.692308,-79.487183
-524.359009,11.538462,-87.179489
-530.769226,-3.846154,-88.46154
-521.794861,-2.564103,-75.641029
-528.205139,-6.410256,-80.769234
-529.487183,3.846154,-85.897438
-528.205139,7.692308,-84.615387
-530.769226,-3.846154,-82.051285
-523.076965,-1.282051,-89.743591
-525.641052,-5.128205,-84.615387
-525.641052,6.410256,-82.051285
-529.487183,8.97436,-79.487183
-532.05127,6.410256,-82.051285
-523.076965,-5.128205,-79.487183
-526.923096,0.0,-84.615387
-530.769226,0.0,-89.743591
-532.05127,2.564103,-85.897438
-533.333374,7.692308,-76.92308
-532.05127,10.256411,-80.769234
-529.487183,3.846154,-83.333336
-530.769226,5.128205,-80.769234
-529.487183,1.282051,-83.333336
-526.923096,7.692308,-80.769234
-533.333374,8.97436,-82.051285
-525.641052,-7.692308,-82.051285
-532.05127,3.846154,-80.769234
-537.179504,8.97436,-83.333336
-538.461548,1.282051,-79.487183
-521.794861,-5.128205,-79.487183
-528.205139,0.0,-73.076927
-532.05127,-3.846154,-84.615387
-534.615417,2.564103,-82.051285
-528.205139,-1.282051,-82.051285
-530.769226,3.846154,-80.769234
-532.05127,-6.410256,-74.358978
-524.359009,-5.128205,-79.487183
-528.205139,0.0,-80.769234
-526.923096,0.0,-88.46154
-529.487183,0.0,-85.897438
-533.333374,8.97436,-79.487183
-519.230774,0.0,-82.051285
-532.05127,6.410256,-87.179489
-532.05127,0.0,-79.487183
-525.641052,0.0,-82.051285
-525.641052,2.564103,-85.897438
-529.487183,2.564103,-83.333336
-532.05127,7.692308,-85.897438
-541.025635,8.97436,-82.051285
-529.487183,6.410256,-85.897438
-532.05127,2.564103,-83.333336
-529.487183,2.564103,-75.641029
-532.05127,6.410256,-85.897438
-532.05127,7.692308,-80.769234
-528.205139,5.128205,-82.051285
-526.923096,-5.128205,-82.051285
-529.487183,6.410256,-80.769234
-530.769226,6.410256,-80.769234
-526.923096,-6.410256,-82.051285
-529.487183,5.128205,-80.769234
-539.743591,5.128205,-84.615387
-528.205139,3.846154,-83.333336
-532.05127,5.128205,-84.615387
-533.333374,7.692308,-78.205132
-537.179504,6.410256,-80.769234
-534.615417,10.256411,-79.487183
-533.333374,7.692308,-80.769234
-532.05127,0.0,-78.205132
-528.205139,0.0,-80.769234
-526.923096,-5.128205,-83.333336
-528.205139,-1.282051,-82.051285
-525.641052,-1.282051,-82.051285
