mx,my,mz
-124.358978,-776.923096,-193.589752
-124.358978,-778.205139,-192.307693
-130.769241,-780.769287,-187.179489
-130.769241,-771.794922,-200.0
-126.92308,-779.487183,-189.743591
-112.820518,-765.384644,-191.02565
-134.615387,-771.794922,-202.564102
-126.92308,-769.230774,-187.179489
-121.794876,-769.230774,-193.589752
-129.487183,-766.666687,-196.153854
-128.205139,-774.359009,-191.02565
-132.051285,-771.794922,-205.128204
-123.076927,-767.94873,-193.589752
-128.205139,-766.666687,-194.871796
-130.769241,-764.1026,-207.692322
-126.92308,-770.512817,-189.743591
-126.92308,-773.076965,-201.282059
-132.051285,-770.512817,-200.0
-116.666672,-773.076965,-192.307693
-126.92308,-775.641052,-194.871796
-130.769241,-769.230774,-208.974365
-129.487183,-773.076965,-197.435898
-128.205139,-776.923096,-197.435898
-133.333344,-778.205139,-188.461548
-124.358978,-774.359009,-193.589752
-130.769241,-773.076965,-207.692322
-125.641029,-773.076965,-198.717957
-128.205139,-770.512817,-191.02565
-128.205139,-775.641052,-191.02565
-138.461548,-779.487183,-203.846161
-125.641029,-771.794922,-197.435898
-123.076927,-775.641052,-197.435898
-125.641029,-771.794922,-188.461548
-116.666672,-778.205139,-191.02565
-134.615387,-765.384644,-189.743591
-126.92308,-775.641052,-206.410263
-128.205139,-769.230774,-197.435898
-116.666672,-767.94873,-188.461548
-130.769241,-780.769287,-196.153854
-132.051285,-767.94873,-207.692322
-129.487183,-780.769287,-198.717957
-123.076927,-769.230774,-191.02565
-123.076927,-771.794922,-188.461548
