theta,phi,temp
1.275687,2.356194,38.96875
1.231042,2.176341,38.96875
1.275687,2.356194,38.96875
0.0,0.0,39.0
1.275687,2.356194,38.96875
0.0,0.0,38.96875
1.275687,2.356194,38.96875
1.006796,2.371021,38.96875
0.0,0.0,38.96875
1.275687,2.356194,38.96875
0.0,0.0,38.96875
1.203711,2.034444,38.96875
1.224993,2.293776,38.96875
1.275687,2.356194,38.96875
1.275687,2.356194,38.96875
1.268726,0.762009,39.0
0.0,0.0,38.96875
0.0,0.0,38.96875
0.0,0.0,38.96875
0.0,0.0,38.96875
1.268726,0.762009,38.96875
1.268726,0.762009,38.96875
0.0,0.0,38.96875
1.275687,2.356194,39.0
0.0,0.0,38.96875
1.268726,0.762009,39.0
1.268726,0.762009,39.0
0.0,0.0,38.96875
1.275687,2.356194,38.96875
0.936474,1.924733,39.0
1.275687,2.356194,39.0
1.275687,2.356194,39.0
0.0,0.0,39.0
0.0,0.0,38.96875
1.268726,0.762009,39.0
1.275687,3.926991,39.0
1.275687,2.356194,38.96875
1.275687,2.356194,38.96875
1.268726,0.762009,39.0
1.162912,1.570909,39.0
1.275687,2.356194,39.0
1.018671,0.756407,38.96875
1.275687,2.356194,39.0
1.268726,0.762009,39.0
1.239548,2.214298,38.96875
1.183551,1.892547,39.0
0.0,0.0,39.0
0.0,0.0,39.0
0.0,0.0,39.0
1.203711,2.034444,39.0
0.0,0.0,39.0
1.275687,2.356194,39.0
1.268726,0.762009,39.03125
1.268726,0.762009,39.0
1.268726,0.762009,39.0
1.275687,2.356194,39.0
0.0,0.0,39.0
0.0,0.0,39.03125
1.275687,2.356194,39.0
1.275687,2.356194,39.0
1.268726,0.762009,39.0
1.268726,0.762009,39.0
1.275687,2.356194,39.0
1.162431,-5.2e-05,39.0
1.275687,2.356194,39.0
1.229985,2.356194,39.0
0.0,0.0,39.0
1.258958,2.293776,39.03125
1.275687,2.356194,39.03125
0.0,0.0,39.0
1.275687,2.356194,39.0
1.275687,2.356194,39.0
0.0,0.0,39.0
1.268726,0.762009,39.03125
0.0,0.0,39.0
1.275687,2.356194,39.0
1.275687,2.356194,39.03125
0.0,0.0,39.0
1.275687,2.356194,39.03125
1.268726,0.762009,39.03125
0.0,0.0,39.0
0.0,0.0,39.03125
0.0,0.0,39.03125
1.162912,1.570909,39.03125
0.0,0.0,39.0
1.162912,1.570909,39.03125
1.246921,2.466852,39.03125
1.183551,1.892547,39.0
1.275687,2.356194,39.03125
0.0,0.0,39.03125
0.0,0.0,39.03125
0.0,0.0,39.03125
1.138298,0.324486,39.03125
1.268726,0.762009,39.03125
0.0,0.0,39.03125
0.0,0.0,39.03125
1.275687,2.356194,39.03125
1.217617,2.601173,39.03125
1.268726,0.762009,39.03125
0.0,0.0,39.03125
1.275687,2.356194,39.03125
0.0,0.0,39.03125
1.275687,2.356194,39.03125
0.0,0.0,39.03125
1.275687,2.356194,39.03125
0.0,0.0,39.03125
0.814841,2.368205,39.03125
1.275687,2.356194,39.03125
1.234278,2.191046,39.03125
0.0,0.0,39.03125
1.268726,0.762009,39.03125
0.0,0.0,39.03125
1.162431,-5.2e-05,39.03125
1.275687,3.926991,39.0625
1.275687,2.356194,39.03125
0.0,0.0,39.03125
1.275687,3.926991,39.03125
0.0,0.0,39.0625
1.275687,2.356194,39.03125
0.0,0.0,39.03125
1.275687,2.356194,39.03125
0.0,0.0,39.0625
1.275687,2.356194,39.0625
1.268726,0.762009,39.03125
1.191021,1.951303,39.0625
0.0,0.0,39.03125
1.268726,0.762009,39.0625
1.255295,2.279423,39.03125
1.133445,2.003606,39.03125
0.0,0.0,39.0625
0.0,0.0,39.0625
1.268726,0.762009,39.03125
1.207357,1.0978,39.0625
0.0,0.0,39.03125
0.0,0.0,39.0625
1.275687,2.356194,39.0625
0.0,0.0,39.0625
0.0,0.0,39.0625
0.0,0.0,39.0625
1.234278,2.191046,39.0625
1.203711,2.034444,39.0625
1.275687,3.926991,39.0625
1.183551,1.892547,39.0625
0.0,0.0,39.0625
1.275687,2.356194,39.0625
1.275687,2.356194,39.0625
1.194486,1.975688,39.0625
0.0,0.0,39.0625
-0.0,2.677945,39.0625
0.0,0.0,39.0625
0.0,0.0,39.0625
0.0,0.0,39.0625
0.0,0.0,39.0625
1.006796,2.371021,39.0625
0.0,0.0,39.0625
1.275687,2.356194,39.0625
1.275687,2.356194,39.0625
0.0,0.0,39.03125
0.0,0.0,39.0625
0.0,0.0,39.0625
1.275687,2.356194,39.0625
1.239548,2.214298,39.0625
1.268726,0.762009,39.0625
1.268726,0.762009,39.0625
1.275687,2.356194,39.0625
0.0,0.0,39.0625
1.275687,5.497787,39.0625
0.0,0.0,39.0625
1.275687,2.356194,39.0625
1.275687,2.356194,39.0625
0.823357,3.148723,39.0625
1.275687,5.497787,39.0625
0.0,0.0,39.09375
0.0,0.0,39.09375
0.0,0.0,39.0625
1.275687,3.926991,39.0625
1.275687,2.356194,39.09375
0.0,0.0,39.0625
1.268726,0.762009,39.0625
1.275687,2.356194,39.0625
1.246921,2.245537,39.09375
1.193501,1.243066,39.0625
1.268726,0.762009,39.0625
0.0,0.0,39.09375
0.0,0.0,39.09375
0.0,0.0,39.09375
